iter	Passed	Remaining
0	1	1906
1	3	1717
2	5	1753
3	7	1786
4	9	1913
5	11	1937
6	13	1933
7	15	1940
8	17	1930
9	19	1925
10	21	1930
11	23	1920
12	25	1933
13	27	1921
14	29	1932
15	31	1930
16	33	1924
17	35	1918
18	37	1914
19	38	1908
20	41	1919
21	42	1896
22	44	1894
23	46	1892
24	48	1883
25	50	1885
26	52	1879
27	53	1859
28	55	1863
29	57	1858
30	59	1855
31	61	1853
32	62	1838
33	64	1834
34	66	1830
35	68	1832
36	70	1838
37	72	1834
38	74	1833
39	76	1830
40	78	1826
41	80	1825
42	82	1829
43	84	1829
44	85	1825
45	87	1822
46	89	1821
47	91	1824
48	93	1820
49	94	1803
50	96	1786
51	97	1782
52	100	1787
53	102	1787
54	103	1783
55	105	1781
56	106	1766
57	108	1763
58	110	1762
59	112	1761
60	114	1763
61	116	1762
62	118	1761
63	120	1758
64	122	1760
65	124	1761
66	126	1759
67	128	1755
68	130	1759
69	132	1761
70	134	1755
71	136	1759
72	138	1757
73	140	1755
74	141	1748
75	143	1739
76	145	1743
77	146	1734
78	148	1733
79	150	1732
80	152	1731
81	154	1730
82	156	1728
83	158	1728
84	160	1730
85	162	1729
86	163	1719
87	165	1717
88	167	1715
89	168	1706
90	170	1705
91	172	1702
92	174	1702
93	176	1699
94	178	1698
95	180	1696
96	182	1694
97	183	1692
98	185	1686
99	187	1684
100	189	1682
101	191	1683
102	192	1677
103	194	1675
104	196	1673
105	198	1671
106	199	1668
107	201	1667
108	203	1661
109	205	1660
110	207	1658
111	208	1652
112	209	1645
113	211	1643
114	213	1641
115	215	1640
116	216	1632
117	218	1630
118	219	1621
119	221	1622
120	223	1622
121	225	1622
122	227	1621
123	229	1618
124	230	1616
125	232	1615
126	234	1614
127	236	1608
128	238	1608
129	240	1606
130	241	1604
131	244	1604
132	245	1602
133	247	1600
134	249	1598
135	251	1594
136	252	1593
137	254	1591
138	256	1588
139	258	1587
140	260	1586
141	262	1583
142	264	1582
143	266	1582
144	268	1580
145	269	1578
146	271	1577
147	273	1575
148	275	1573
149	277	1571
150	279	1570
151	281	1570
152	283	1569
153	285	1567
154	287	1566
155	289	1564
156	290	1560
157	292	1559
158	294	1558
159	297	1560
160	299	1559
161	301	1558
162	303	1557
163	305	1556
164	307	1555
165	308	1549
166	310	1548
167	312	1546
168	314	1545
169	316	1544
170	317	1540
171	319	1538
172	321	1537
173	323	1535
174	325	1534
175	327	1534
176	329	1532
177	331	1531
178	332	1526
179	334	1524
180	336	1523
181	338	1521
182	340	1519
183	342	1518
184	344	1517
185	346	1515
186	347	1510
187	349	1508
188	351	1506
189	352	1504
190	354	1499
191	355	1497
192	357	1496
193	359	1495
194	361	1493
195	363	1491
196	365	1488
197	367	1487
198	368	1484
199	370	1482
200	373	1483
201	375	1481
202	377	1480
203	378	1477
204	380	1475
205	382	1474
206	384	1472
207	386	1471
208	388	1471
209	390	1468
210	392	1465
211	393	1464
212	395	1462
213	397	1461
214	399	1458
215	401	1458
216	404	1459
217	406	1458
218	409	1458
219	411	1457
220	413	1455
221	414	1454
222	416	1452
223	420	1455
224	422	1456
225	424	1455
226	427	1456
227	429	1455
228	432	1454
229	434	1453
230	436	1452
231	437	1449
232	439	1448
233	442	1446
234	443	1444
235	445	1442
236	447	1442
237	449	1438
238	451	1436
239	453	1434
240	454	1432
241	456	1430
242	458	1428
243	460	1426
244	462	1424
245	464	1423
246	466	1421
247	468	1419
248	469	1417
249	471	1415
250	473	1412
251	475	1410
252	477	1408
253	479	1406
254	481	1405
255	482	1403
256	484	1401
257	486	1399
258	488	1397
259	490	1395
260	492	1393
261	495	1394
262	496	1392
263	498	1390
264	500	1387
265	502	1386
266	504	1384
267	506	1383
268	508	1380
269	510	1379
270	512	1377
271	513	1375
272	515	1373
273	517	1371
274	519	1369
275	521	1368
276	523	1365
277	524	1363
278	526	1361
279	528	1359
280	530	1357
281	532	1355
282	534	1353
283	536	1351
284	538	1350
285	540	1349
286	541	1346
287	544	1344
288	546	1343
289	548	1342
290	550	1341
291	552	1340
292	555	1339
293	556	1337
294	558	1335
295	560	1333
296	562	1331
297	564	1329
298	566	1327
299	568	1325
300	570	1324
301	571	1321
302	573	1320
303	575	1318
304	577	1316
305	579	1314
306	581	1312
307	583	1310
308	585	1308
309	587	1307
310	589	1305
311	591	1303
312	592	1301
